"","logFC","logCPM","PValue","FDR"
"YOR294W",1.7783321334276,5.43354847368602,4.43304917386371e-06,0.000212460998938202
"YPL211W",2.05153565838334,5.27620469544148,4.68665774707744e-06,0.000218745256450425
"YMR194W",1.85274608137149,8.07907982369264,4.7445612902798e-06,0.000218745256450425
"YLR196W",1.61188284316899,6.95755122970072,4.86282914734524e-06,0.000220899299702014
"YPL126W",1.49446876717852,6.55909237820467,5.05286619966959e-06,0.000225608316470717
"YPR137W",1.49036321137229,5.52277829233869,5.19605409568284e-06,0.000230035479625823
"YLR222C",2.19009208073857,5.61568034126706,6.04168752802683e-06,0.000258703079068952
"YKL191W",1.27623310899773,6.84221664012916,6.145700818464e-06,0.000261017407119154
"YLR405W",1.48766653461238,5.66951138797074,6.60498979453095e-06,0.000278261828117981
"YDL208W",1.54598886428712,6.83432317443837,7.16480058738418e-06,0.00029943134614796
"YDR083W",1.51320773814382,5.71302238031559,7.62847357660295e-06,0.000316278936223601
"YJL033W",1.6993729259929,6.23605509262105,8.51195770879918e-06,0.000347394273990366
"YEL026W",1.86555647547123,6.49473220502363,8.617698150454e-06,0.000348983373162571
"YMR308C",1.35992624457755,7.9240588631393,8.87909515367731e-06,0.000356803023713925
"YML022W",1.49179186369928,6.47494855956803,9.12583112411567e-06,0.000363918639636491
"YMR014W",1.59509573638727,5.67039518076866,1.14754802170383e-05,0.000450736155291791
"YBR154C",1.27154137511511,6.40907371093192,1.25967592670031e-05,0.000491085600080778
"YLL034C",2.03113875714457,5.47496224678591,1.29597564471956e-05,0.000501494575408516
"YDR324C",1.75791174987496,5.85196510818409,1.35643815971488e-05,0.000521031834290481
"YKL082C",1.30538792537278,6.62438494320444,1.36770150766964e-05,0.000521523552997533
"YNR015W",1.51492562085917,6.19165976653958,1.4621502057803e-05,0.000553498019927266
"YJL148W",1.63291269598165,5.91124435796737,1.48150742915938e-05,0.000556790993520043
"YJL109C",1.30727404873671,7.29777315323918,1.52877245679942e-05,0.000570450522451442
"YCR051W",1.32199855679282,6.63596106892361,1.54136327519238e-05,0.000571069627631561
"YIL069C",1.89335722737588,8.97589544685578,2.03794676967033e-05,0.000729194104435466
"YKL009W",1.51460145982547,6.31154135886535,2.09408315904696e-05,0.000744183021963354
"YPL217C",1.23425837972866,7.43525515155225,2.38184945644723e-05,0.000835086010770492
"YBR172C",1.18614270802226,6.61390910853283,2.62634042625653e-05,0.000908609429587027
"YNL112W",2.24168917704947,6.36277297893653,2.65045868600515e-05,0.000910920801032296
"YHR065C",1.4463269708126,6.28163009436816,2.67868719091147e-05,0.000914605351981799
"YLR074C",1.25525548265934,6.35399567792532,2.81519352309197e-05,0.00095497214056055
"YDL150W",1.40893869291938,5.98011337632821,2.88233297923025e-05,0.000971439192483796
"YJR002W",1.25950970377539,6.87258021636116,3.07502310752779e-05,0.00102039359817009
"YNL062C",1.5254317329823,5.54252315825227,3.08986275544987e-05,0.00102039359817009
"YCR057C",1.378028531403,5.65216014011182,3.12482533062752e-05,0.00102039359817009
"YMR070W",1.26178265659957,6.77691310651034,3.41372971684518e-05,0.00109406895955823
"YLR406C",1.6338774967748,8.17054924534561,3.83569872403085e-05,0.00120968518220545
"YER110C",1.19691630183906,7.63259720177933,3.84394602308775e-05,0.00120968518220545
"YGR177C",1.75506987273952,4.71089618764008,3.94102992845602e-05,0.0012328107991769
"YGR128C",1.45690500279605,6.12446772224371,4.04584476746923e-05,0.00125806506340829
"YDL014W",2.10009452662069,8.78433798161269,4.25042874946524e-05,0.00131386034243825
"YGR271C-A",1.84651213497063,4.77246998561881,4.68231150079787e-05,0.00143043247252445
"YPL146C",1.5834395341678,6.30009244354642,4.79108991073732e-05,0.0014476053197433
"YKL205W",1.20499096295907,6.13988231458854,4.82746032327913e-05,0.0014476053197433
"YKL172W",1.54994733022173,6.88711307851565,5.05277458567538e-05,0.00149975536565728
"YJR063W",2.42645117912036,4.07490346734188,5.20235292440004e-05,0.0015354289083088
"YDL037C",1.95544212632194,4.30040635680288,5.43070857796967e-05,0.00158491740845327
"YOR341W",1.52049780062542,8.38236908514749,5.56030665454576e-05,0.00161372455351928
"YGL147C",1.99305183484694,10.1706193393243,5.71747715789113e-05,0.00164110443257271
"YNL110C",1.533878716938,5.9833534396979,6.18960763538086e-05,0.00175731034169726
"YKL014C",1.35336309186124,6.27491882854039,6.43542359395542e-05,0.00181722447863909
"YOR340C",1.28266405302763,5.94418358065971,6.95858873534206e-05,0.00193359933794824
"YNL182C",1.99722173206318,5.11090390776678,7.10601247797861e-05,0.00196411688809314
"YLR002C",1.33957135066567,5.62551858656569,7.21036366448032e-05,0.00198247051490764
"YGR249W",1.19454197609115,6.13209727477683,7.54538799050821e-05,0.00206372287237774
"YDL063C",1.38924908888404,5.37611669363643,7.95614665892117e-05,0.00215351866042509
"YDR361C",1.19472707694605,5.83107623179758,8.25437365732455e-05,0.00222272412298265
"YHR170W",1.31292849438723,6.88192787642626,8.32020008136906e-05,0.00222896026795241
"YDR383C",1.42624890304757,6.32724441363814,8.72766135259095e-05,0.0023261889237722
"YML059C",1.06119167495992,6.56110367219396,9.1354892806847e-05,0.00239818070363301
"YDR161W",1.2822388815171,6.157620253527,9.19541081446365e-05,0.0024018413047379
"YBR238C",1.74503897170226,4.54238785180711,9.32536384656818e-05,0.00242366670320757
"YOR004W",1.50809519185648,4.99096575012008,9.46309360593528e-05,0.0024472871780894
"YBR189W",2.02572756051571,10.4251218389985,9.60577178318422e-05,0.00245983097036051
"YER049W",1.23137000439117,6.94385116841187,9.92863098384726e-05,0.00252381712381869
"YFR001W",1.3206815252764,6.10913211328946,9.95226507478274e-05,0.00252381712381869
"YLR017W",1.22837252228686,6.18032714342506,0.000104030089698038,0.0026041401147546
"YOR210W",1.22415613815449,5.55254255806031,0.000104176115371931,0.0026041401147546
"YNL061W",1.40048565616874,7.30104179470525,0.000106462336075808,0.00263582579933659
"YMR128W",1.30932084104646,6.25431913107543,0.00011903834469376,0.00290587062000095
"YHR128W",1.47821550550615,6.00659095155134,0.000123357783204709,0.00298343083083982
"YIL019W",1.49177531460081,5.27500176405333,0.000124619851545868,0.00300006499758348
"YHR052W",1.58187997084059,5.46779151795151,0.000131028362023306,0.00311132801458978
"YGR173W",1.61637679277927,5.94732513378104,0.000132619749474716,0.0031207458164681
"YKL099C",1.45615442725115,5.06424576171793,0.00014045606061675,0.0032903249357036
"YBL024W",1.48823488810541,6.68121844354506,0.00014814902977658,0.00345504701586096
"YBR084W",1.5326057050784,8.25759537993367,0.000151997370355921,0.00351342594132448
"YIL117C",1.19598362049938,6.07658846931487,0.000152816291369999,0.00351679430007433
"YMR239C",1.76367588857723,4.71835334510624,0.000155959025642483,0.00357337697349268
"YKL078W",2.11184483418374,4.15912327965331,0.000157073404762444,0.00358319417676421
"YJL191W",1.3298872253192,7.63134941171199,0.000158084519852807,0.00359058057265681
"YLR388W",1.46069190637938,7.74449806707068,0.000161432900634494,0.0036507596230069
"YIL110W",1.46781153362619,5.34379492764504,0.000165399395766008,0.0037083538346851
"YGL246C",1.35410912573026,5.46752482690689,0.000166894326617485,0.00372588018055444
"YPR010C",1.60063005085644,8.09404504592769,0.000179416134635599,0.00397148257345919
"YKL181W",1.17733326372079,7.99332232082709,0.000180319547883314,0.00397463847317482
"YNL301C",1.34023480315212,7.22562570672934,0.000188055742901499,0.00411047364400599
"YDR412W",1.2499343926232,5.43171825556587,0.000190131691341743,0.00413853314820526
"YNL141W",1.4107688436649,5.26530132675754,0.000198745594923535,0.00428058023239549
"YOR095C",1.81778472133753,5.33058496446357,0.000199115810963266,0.00428058023239549
"YMR229C",1.55539258961682,7.57028334378581,0.000202301640810434,0.00433124496554797
"YIR012W",1.42087874429376,6.92709965775565,0.000207466525320458,0.00440571190355314
"YER126C",1.1412126561581,5.76605720490398,0.000208569077564037,0.00441119377001834
"YPL198W",1.5721560575745,8.9790528559415,0.000216909156032258,0.00456908641577628
"YNL119W",1.68272186515995,4.80313637609975,0.00023123429423267,0.00473679367783546
"YDR091C",1.08023196816712,7.46104057597585,0.000231946471566288,0.00473679367783546
"YLR449W",1.42432253129278,7.23243202632381,0.000233243599550839,0.00473679367783546
"YBR079C",1.48398735105476,8.67925354738365,0.000233938125743022,0.00473679367783546
"YIR026C",1.24972524258906,5.91619566876994,0.000243816051064562,0.00489882711831259
"YJL122W",1.96263665396881,4.18630752852197,0.000276631529262961,0.00548476366410435
"YOL124C",2.01706137229004,4.99290558956046,0.000278227865809275,0.00548476366410435
"YDR144C",1.3837550934987,5.29569131705547,0.000283602103150648,0.00556968942428189
"YLR448W",1.72633997670636,9.07539541217651,0.000298489803326908,0.00579669417315898
"YGL135W",1.67254844505465,10.4954293828921,0.000301991755886651,0.00582142041605855
