conA_rep1.sam	conA_rep2.sam	conB_rep1.sam	conB_rep2.sam
YIL133C	176	443	727	1001
YIL132C	5	1	5	7
YIL131C	48	27	30	38
YIL130W	36	24	38	45
YIL129C	148	124	97	126
YIL128W	47	55	57	60
YIL127C	7	13	36	55
YIL126W	169	201	152	220
YIL125W	742	551	280	355
YIL124W	102	117	66	76
YIL123W	252	126	133	188
YIL122W	16	17	16	25
YIL121W	16	10	7	16
YIL120W	24	11	10	19
YIL119C	46	27	36	39
YIL118W	40	47	45	65
YIL117C	29	33	63	70
YIL116W	105	449	109	157
YIL115C	162	136	127	186
YIL114C	25	22	15	39
YIL113W	26	22	10	19
YIL112W	131	120	86	129
YIL111W	36	63	20	26
YIL110W	20	12	29	56
YIL109C	333	347	258	362
YIL108W	90	76	58	87
YIL107C	171	124	60	117
YIL106W	66	47	29	65
YIL105C	152	100	83	89
YIL105W-A	0	0	0	0
YIL104C	8	4	9	22
YIL103W	31	15	26	53
YIL102C-A	7	8	6	7
YIL102C	7	1	1	0
YNCI0002W	0	0	0	0
YIL101C	156	123	79	94
YIL099W	27	22	18	10
YIL098C	32	33	15	17
YIL097W	72	52	31	44
YIL096C	10	11	18	36
YNCI0003C	0	0	0	0
YIL095W	47	54	32	61
YIL094C	456	324	119	216
YIL093C	44	36	26	29
YIL092W	18	12	12	28
YIL091C	24	13	26	55
YIL090W	61	37	55	68
YIL089W	17	8	5	10
YNCI0004W	0	0	0	0
YIL088C	171	173	58	80
YIL087C	116	85	42	49
YIL086C	4	0	0	0
YIL085C	80	55	65	98
YIL084C	21	14	23	29
YIL083C	59	43	36	57
YIL082W-A	42	26	22	36
YNCI0005W	0	0	0	0
YIL079C	7	4	11	17
YIL078W	311	646	417	669
YIL077C	80	42	39	56
YIL076W	71	105	67	94
YIL075C	592	691	419	612
YIL074C	171	90	69	97
YIL073C	29	9	18	17
YIL072W	22	10	12	18
YIL071C	28	21	20	35
YIL070C	62	50	31	41
YIL069C	122	209	512	653
YIL068C	88	98	68	100
YIL067C	30	37	37	35
YIL066C	16	9	6	9
YIL065C	60	59	30	43
YIL064W	21	25	28	53
YIL063C	107	90	79	77
YIL062C	175	164	97	117
YIL061C	11	10	5	19
YIL060W	11	12	9	11
YIL057C	10	1	5	3
YNCI0006W	0	0	0	0
YIL056W	92	84	106	153
YIL055C	69	56	33	31
YIL054W	0	0	1	0
YIL053W	144	624	329	545
YIL052C	157	320	515	790
YIL051C	184	357	174	273
YIL050W	164	182	71	112
YIL049W	6	14	11	19
YIL048W	104	98	67	106
YIL047C	116	53	74	123
YIL046W-A	0	0	2	1
YIL046W	97	36	54	78
YIL045W	209	195	87	141
YIL044C	37	54	42	59
YIL043C	150	166	116	194
YIL042C	71	47	33	43
YIL041W	222	279	162	217
YIL040W	20	17	18	26
YIL039W	90	93	81	138
YIL038C	70	68	73	96
YIL037C	16	10	3	11
YIL036W	199	156	114	173
YIL035C	60	72	68	122
YIL034C	174	142	93	101
YIL033C	266	273	134	196
YIL031W	49	44	30	55
YIL030C	123	115	108	158
YNCI0007C	0	0	0	0
YIL029C	9	12	8	14
YIL027C	21	44	25	38
YIL026C	69	58	55	53
YIL024C	13	9	2	6
YIL023C	49	56	42	60
YIL022W	140	164	120	164
YIL021W	63	66	80	97
YIL020C	22	16	25	39
YIL019W	17	13	28	53
YIL018W	531	1203	2033	3092
YIL017C	144	94	72	78
YIL016W	19	38	30	30
YIL015W	46	60	43	68
YNCI0008C	0	0	0	1
YIL014C-A	18	22	12	13
YNCI0009W	1	0	0	0
YIL014W	43	50	51	61
YIL013C	33	12	26	27
YIL012W	1	0	0	0
YIL011W	16	36	16	32
YIL010W	48	53	29	35
YIL009C-A	17	23	9	13
YNCI0010C	0	0	0	0
YIL009W	31	28	39	51
YIL008W	17	27	23	33
YIL007C	36	48	26	32
YIL006W	14	11	9	2
YIL005W	91	100	70	112
YIL004C	29	31	23	39
YIL003W	24	21	21	31
YIL002W-A	26	31	27	44
YIL002C	90	65	53	81
YIL001W	18	26	26	29
YIR001C	41	49	36	56
YIR002C	111	89	57	77
YIR003W	151	146	90	103
YIR004W	77	64	67	96
YIR005W	9	5	3	12
YIR006C	356	391	284	432
YNCI0011W	0	0	0	0
YIR007W	41	44	41	47
YIR008C	38	26	29	24
YIR009W	6	8	7	13
YIR010W	62	37	47	65
YIR011C	77	59	57	91
YIR012W	34	67	103	157
YIR013C	1	0	0	0
YIR014W	22	12	9	12
YIR015W	21	13	20	17
YIR016W	79	51	44	57
YIR017C	26	7	6	4
YIR018W	17	7	18	12
YIR018C-A	5	0	5	6
YIR019C	19	12	7	13
YNCI0012	21	11	14	14
YIR020C	0	0	0	0
YNCI0013W	0	0	0	0
YIR021W	13	16	9	18
YIR021W-A	0	0	0	0
YIR022W	52	41	42	51
YIR023W	49	33	35	65
YIR024C	27	22	12	13
YIR025W	35	25	27	24
YIR026C	26	28	41	83
YIR027C	19	9	8	7
YIR028W	14	8	9	8
YIR029W	50	31	11	19
YIR030C	5	5	8	3
YIR031C	32	32	21	21
YIR032C	25	9	4	5
YIR033W	62	70	59	86
YIR034C	263	193	40	58
YIR035C	53	42	41	85
YIR036C	126	102	56	67
YIR037W	146	136	59	73
YIR038C	119	99	28	29
YIR039C	49	40	26	38
YIR041W	0	0	0	0
YIR042C	46	11	12	11
YJL225C	241	139	136	158
YJL223C	1	0	2	3
YJL222W	55	39	24	54
YJL221C	18	11	2	7
YJL219W	19	4	8	7
YJL218W	6	8	13	7
YJL217W	106	187	116	158
YJL216C	14	11	9	8
YJL214W	9	8	6	8
YJL213W	77	224	153	204
YJL212C	38	9	6	14
YJL210W	72	43	38	50
YJL209W	25	13	17	35
YJL208C	16	29	23	38
YJL207C	82	73	86	117
YJL206C	31	33	22	35
YJL205C	7	11	9	10
YJL204C	41	25	27	37
YJL203W	16	25	30	37
YJL201W	31	32	36	50
YJL200C	203	276	123	210
YNCJ0001C	0	0	0	0
YJL199C	18	17	8	5
YJL198W	59	27	47	75
YJL197W	57	53	50	79
YJL196C	112	113	83	117
YJL194W	5	6	3	1
YJL193W	12	10	9	16
YJL192C	33	63	45	61
YJL191W	68	106	159	263
YJL190C	142	322	628	915
YJL189W	145	299	467	640
YJL187C	64	20	37	40
YJL186W	125	88	78	104
YJL185C	40	26	13	13
YJL184W	11	31	21	20
YJL183W	73	76	79	98
YJL181W	12	12	12	13
YJL180C	43	44	24	14
YJL179W	13	11	19	32
YJL178C	87	83	74	105
YJL177W	150	340	547	765
YJL176C	96	65	71	108
YJL174W	158	146	141	166
YJL173C	23	18	17	16
YJL172W	131	137	72	74
YJL171C	104	120	89	131
YJL170C	12	8	5	7
YJL168C	38	46	44	87
YJL167W	379	565	335	501
YJL166W	254	241	204	227
YJL165C	126	88	92	121
YJL164C	103	101	60	86
YJL163C	87	63	29	36
YJL162C	12	15	11	18
YNCJ0002C	0	0	0	0
YJL161W	34	49	18	26
YJL160C	0	2	2	2
YJL159W	954	1770	1532	1877
YJL158C	225	210	175	245
YJL157C	32	22	27	30
YJL156C	47	39	54	65
YJL155C	107	92	72	65
YJL154C	136	140	111	160
YJL153C	201	58	28	30
YJL151C	152	157	92	117
YJL149W	26	45	37	56
YNCJ0003C	0	0	1	3
YNCJ0004C	1	0	0	2
YJL148W	15	29	51	80
YJL147C	24	15	10	25
YJL146W	37	32	27	38
YJL145W	26	52	42	61
YJL144W	94	61	48	53
YJL143W	49	105	59	86
YJL142C	12	6	5	9
YJL141C	428	350	327	355
YJL140W	156	148	106	168
YJL139C	37	31	23	27
YJL138C	281	553	563	858
YJL137C	69	48	17	21
YJL136W-A	0	0	0	0
YJL136C	146	405	593	731
YJL134W	100	56	62	93
YJL133C-A	274	145	81	141
YJL133W	26	29	30	44
YJL132W	21	24	17	14
YJL131C	54	34	32	37
YJL130C	326	801	678	997
YJL129C	83	77	78	101
YJL128C	87	90	58	79
YJL127C-B	26	16	18	19
YJL127C	46	20	30	34
YJL126W	28	15	21	20
YJL125C	31	27	33	58
YJL124C	92	85	66	81
YJL123C	196	194	150	199
YJL122W	5	5	12	26
YJL121C	85	131	89	136
YJL118W	10	6	5	7
YJL117W	85	129	84	117
YJL116C	24	20	31	24
YJL115W	38	39	52	47
YNCJ0005C	0	0	0	0
YJL114W	0	0	0	1
YJL113W	6	2	4	1
YNCJ0006W	1	0	0	0
YJL112W	92	76	56	101
YJL111W	165	229	212	298
YJL110C	29	32	34	48
YJL109C	65	75	117	218
YJL108C	22	36	64	65
YJL107C	15	31	36	43
YJL106W	14	3	9	16
YJL105W	22	8	14	24
YJL104W	33	37	33	30
YNCJ0007C	10	3	2	5
YJL103C	108	72	45	55
YJL102W	157	132	59	86
YNCJ0008W	0	0	1	0
YJL101C	159	117	69	89
YJL100W	83	58	57	80
YJL099W	30	19	19	45
YJL098W	32	26	27	50
YJL097W	53	56	43	54
YJL096W	40	34	22	18
YJL095W	75	48	38	45
YJL094C	61	69	60	85
YJL093C	70	74	59	64
YJL092W	133	57	52	79
YJL091C	45	47	37	63
YJL090C	24	24	18	27
YJL089W	13	10	3	3
YJL088W	94	116	26	41
YJL087C	24	15	15	36
YJL085W	26	41	36	48
YJL084C	88	43	53	61
YJL083W	29	18	24	17
YJL082W	175	198	128	163
YJL081C	72	95	55	98
YJL080C	190	268	259	395
YJL079C	128	154	88	112
YJL078C	226	165	164	225
YJL077W-B	3	3	4	5
YJL077C	12	4	6	11
YJL077W-A	0	0	0	0
YJL076W	115	120	129	197
YJL075C	1	0	1	3
YJL074C	24	36	26	41
YJL073W	38	32	38	46
YJL072C	18	15	17	26
YJL071W	31	30	15	31
YJL070C	67	78	52	70
YJL069C	13	16	24	64
YJL068C	106	103	43	67
YJL066C	115	78	33	42
YJL065C	39	16	17	31
YJL063C	61	60	31	41
YJL062W-A	43	36	18	21
YJL062W	51	45	47	63
YJL061W	51	58	56	98
YJL060W	166	70	36	53
YJL059W	43	27	26	37
YJL058C	12	15	7	14
YJL057C	126	104	52	60
YJL056C	29	18	25	23
YJL055W	150	159	112	129
YJL054W	67	75	54	78
YJL053W	62	81	42	60
YJL052C-A	1	0	0	0
YJL052W	1122	1568	308	392
YJL051W	38	38	31	50
YJL050W	38	50	90	163
YJL049W	44	44	36	51
YJL048C	275	217	185	290
YJL047C-A	1	0	0	1
YNCJ0009C	0	0	0	0
YJL047C	42	45	29	43
YJL046W	37	28	17	22
YNCJ0010W	0	0	0	0
YNCJ0011W	0	0	0	0
YNCJ0012W	0	0	0	0
YJL045W	9	14	7	8
YJL044C	65	52	54	72
YJL043W	2	1	0	2
YJL042W	388	337	166	222
YJL041W	157	146	123	174
YJL039C	113	89	100	151
YNCJ0013C	0	0	0	0
YNCJ0014C	0	0	0	0
YJL038C	5	0	2	4
YJL037W	2	2	0	2
YNCJ0015W	1	0	0	0
YJL036W	122	109	64	82
YJL035C	9	9	8	14
YJL034W	686	775	532	809
YJL033W	28	26	50	122
YJL031C	81	49	47	70
YJL030W	23	32	28	36
YJL029C	76	69	72	101
YNCJ0016C	0	0	0	0
YJL028W	0	0	0	0
YJL027C	1	0	0	1
YJL026W	386	391	280	385
YJL025W	9	5	7	13
YJL024C	26	30	30	26
YNCJ0017C	0	0	0	0
YJL023C	25	23	16	26
YJL020C	452	380	251	296
YJL019W	28	19	23	35
YJL016W	140	111	53	75
YJL014W	199	266	176	226
YJL013C	46	37	30	32
YJL012C	159	231	182	311
YJL011C	5	1	5	4
YNCJ0018W	0	0	0	0
YNCJ0019C	0	0	0	0
YJL010C	29	29	30	75
YJL008C	243	264	194	289
YJL007C	0	1	0	0
YNCJ0020W	0	0	0	0
YJL006C	15	14	14	32
YNCJ0021C	0	0	0	0
YJL005W	290	247	208	208
YJL004C	47	26	33	46
YJL003W	24	19	5	14
YJL002C	178	158	180	231
YJL001W	224	190	121	165
YJR001W	264	144	120	183
YJR002W	64	43	88	157
YJR003C	20	20	27	39
YJR004C	33	24	17	26
YJR005W	79	106	60	93
YJR005C-A	0	0	0	1
YJR006W	64	39	33	84
YJR007W	102	132	112	193
YJR008W	220	143	74	79
YJR009C	1377	2850	899	1294
YJR010W	334	17	10	11
YJR010C-A	10	16	13	11
YJR011C	18	22	13	21
YJR012C	13	12	17	16
YJR013W	45	43	35	41
YJR014W	80	98	115	170
YJR015W	106	110	93	145
YJR016C	190	1041	477	678
YJR017C	66	68	49	59
YJR019C	60	44	25	39
YJR021C	67	23	20	35
YJR022W	7	10	6	6
YJR024C	38	33	40	73
YJR025C	46	326	34	50
YJR027W	147	366	169	235
YJR026W	0	0	0	0
YJR029W	176	469	167	254
YJR028W	0	0	0	0
YJR030C	33	17	25	30
YJR031C	71	43	46	65
YJR032W	37	43	36	50
YJR033C	115	88	60	89
YJR034W	25	23	8	22
YJR035W	63	54	40	68
YJR036C	41	32	32	34
YJR039W	91	59	46	72
YJR040W	56	63	44	57
YJR041C	13	18	41	62
YJR042W	96	90	91	158
YJR043C	23	14	11	23
YNCJ0022C	0	0	0	0
YJR044C	49	53	30	38
YJR045C	1628	1554	766	1152
YJR046W	58	58	56	88
YNCJ0023C	0	0	0	0
YJR047C	4	2	0	0
YJR048W	291	271	325	467
YJR049C	85	84	57	75
YJR050W	22	26	22	35
YJR051W	92	83	56	62
YNCJ0024W	0	0	0	0
YJR052W	33	38	29	50
YJR053W	15	7	4	9
YJR054W	21	17	20	33
YNCJ0025W	0	0	0	0
YJR055W	7	7	5	11
YNCJ0026W	0	1	0	0
YJR056C	9	4	8	25
YNCJ0027C	0	0	0	0
YJR057W	16	27	19	21
YJR058C	63	32	26	39
YJR059W	295	280	245	317
YJR060W	38	28	23	31
YJR061W	63	38	31	47
YJR062C	41	45	32	38
YJR063W	6	1	18	18
YJR064W	149	191	170	236
YJR065C	255	302	193	248
YJR066W	111	86	78	100
YJR067C	17	20	21	24
YJR068W	64	51	68	94
YJR069C	46	46	31	69
YJR070C	32	79	107	225
YJR072C	61	93	74	144
YJR073C	435	349	127	162
YJR074W	38	48	42	49
YJR075W	77	74	58	118
YJR076C	110	108	88	129
YJR077C	502	501	353	487
YJR078W	8	30	18	17
YJR079W	3	5	3	2
YJR080C	56	56	35	45
YJR082C	23	35	20	27
YJR083C	23	30	14	30
YJR084W	30	33	18	41
YJR085C	110	106	73	80
YJR086W	56	47	32	66
YJR088C	77	82	50	76
YJR089W	67	50	33	61
YJR090C	101	91	79	103
YJR091C	202	225	165	188
YJR092W	135	94	81	116
YJR093C	47	34	40	39
YJR094C	8	6	12	5
YNCJ0028C	5	5	7	11
YJR094W-A	104	247	408	578
YJR095W	14	3	2	3
YJR096W	290	195	70	72
YJR097W	6	7	16	22
YJR098C	35	30	34	27
YJR099W	38	26	20	31
YJR100C	54	37	24	40
YNCJ0029W	0	0	0	0
YJR101W	53	56	30	48
YJR102C	26	20	12	21
YJR103W	111	102	72	115
YJR104C	1463	1442	875	1071
YJR105W	341	429	437	652
YJR106W	44	33	29	33
YJR107W	36	23	25	42
YJR107C-A	17	7	10	17
YJR108W	7	2	3	3
YJR109C	108	623	33	60
YJR110W	40	32	39	47
YJR111C	19	14	10	26
YJR112W	7	3	6	6
YJR112W-A	22	12	12	19
YJR113C	80	73	56	75
YJR115W	62	34	50	44
YJR116W	27	21	16	39
YJR117W	158	147	120	165
YJR118C	34	32	26	53
YJR119C	24	18	25	30
YJR120W	10	4	5	9
YJR121W	2576	2278	1513	2054
YJR122W	35	46	13	20
YJR123W	729	1590	2475	3776
YJR124C	15	10	15	39
YJR125C	179	145	95	129
YJR126C	158	127	98	117
YJR127C	158	145	121	179
YJR128W	3	1	1	1
YNCJ0030W	3	1	3	1
YJR129C	9	4	15	13
YJR130C	74	153	40	56
YJR131W	48	37	35	41
YJR132W	61	39	72	94
YJR133W	56	54	26	41
YJR134C	78	71	67	114
YJR135C	11	13	5	4
YJR135W-A	26	24	12	21
YJR136C	15	14	13	31
YJR137C	255	51	59	64
YJR138W	74	42	35	59
YJR139C	623	423	302	470
YJR140C	63	49	44	55
YJR141W	23	14	11	25
YJR142W	105	79	40	51
YJR143C	110	107	104	190
YJR144W	63	44	44	69
YJR145C	518	1234	1893	2966
YJR146W	9	7	3	13
YJR147W	29	46	51	49
YJR148W	115	391	249	307
YJR149W	45	26	33	30
YJR150C	1	1	1	1
YJR151C	49	31	31	33
YJR151W-A	0	0	0	0
YJR152W	74	20	16	25
YJR153W	7	11	5	13
YJR154W	8	8	3	11
YJR155W	45	16	10	11
YJR156C	4	0	6	2
YJR158W	18	10	6	13
YJR159W	12	10	10	13
YJR160C	12	10	11	14
YJR161C	56	47	40	52
YKL224C	1	0	0	0
YKL222C	17	22	13	22
YKL221W	10	5	0	4
YKL220C	14	13	8	8
YKL219W	43	37	23	43
YKL218C	72	269	31	46
YKL217W	163	129	116	84
YKL216W	39	72	90	145
YKL215C	101	88	77	82
YKL214C	29	31	35	48
YKL213C	166	216	116	154
YKL212W	142	156	146	269
YKL211C	65	204	60	98
YNCK0001W	0	0	0	0
YKL210W	685	659	331	432
YKL209C	101	144	176	247
YNCK0002C	0	1	0	0
YKL208W	19	24	9	19
YKL207W	121	116	72	117
YKL206C	48	52	35	52
YKL205W	35	30	53	90
YKL204W	120	113	63	109
YKL203C	76	87	69	99
YKL201C	243	195	161	245
YKL198C	69	50	48	61
YKL197C	72	54	49	56
YNCK0003W	0	0	0	0
YKL196C	83	130	71	108
YKL195W	284	294	125	165
YKL194C	38	41	22	20
YKL193C	121	95	53	53
YKL192C	129	145	56	74
YKL191W	46	57	97	140
YKL190W	59	76	40	65
YNCK0004W	0	0	0	0
YKL189W	37	35	26	34
YKL188C	60	37	37	39
YKL187C	55	21	25	37
YKL186C	44	33	34	65
YKL185W	70	111	72	94
YKL184W	71	108	80	133
YKL183C-A	2	3	2	3
YKL183W	29	19	37	30
YKL182W	807	633	559	794
YKL181W	131	113	199	328
YKL180W	279	557	897	1378
YKL179C	87	87	78	111
YKL178C	6	3	0	3
YKL176C	87	64	69	82
YKL175W	79	91	60	95
YKL174C	35	50	39	86
YKL173W	66	59	49	75
YKL172W	33	59	90	173
YKL171W	142	97	70	98
YKL170W	31	58	31	44
YKL168C	67	59	46	48
YKL167C	37	20	24	27
YKL166C	28	19	23	38
YKL165C	43	36	34	55
YNCK0005C	0	1	0	1
YKL164C	337	523	356	486
YKL163W	23	23	23	33
YKL162C	27	19	19	18
YKL161C	15	16	16	28
YKL160W	106	120	87	97
YKL159C	21	18	21	11
YKL157W	330	292	115	187
YKL156W	62	65	159	219
YKL155C	47	39	35	31
YKL154W	25	26	14	31
YNCK0006C	0	0	0	0
YKL152C	2863	3908	1629	2265
YKL151C	375	326	125	139
YKL150W	853	770	450	558
YKL149C	23	18	20	38
YKL148C	909	722	374	425
YKL146W	150	119	117	140
YKL145W	377	405	200	315
YKL144C	10	9	15	28
YKL143W	35	35	71	139
YKL142W	346	277	139	165
YKL141W	274	259	156	189
YKL140W	95	86	58	71
YKL139W	36	28	24	37
YKL138C-A	14	14	11	14
YKL138C	51	54	30	31
YKL137W	33	22	15	13
YKL135C	126	113	74	133
YKL134C	53	54	20	37
YKL133C	36	18	16	16
YKL132C	14	6	9	21
YKL130C	26	27	27	39
YKL129C	176	151	92	105
YKL128C	33	44	54	74
YNCK0007W	0	0	0	0
YKL127W	99	129	85	105
YKL126W	229	216	122	149
YKL125W	34	16	18	38
YKL124W	84	61	47	69
YKL122C	49	38	38	73
YKL121W	83	69	48	52
YKL120W	42	279	118	221
YKL119C	24	26	19	33
YNCK0008W	0	0	0	0
YKL117W	336	452	239	307
YKL116C	34	31	35	44
YKL114C	34	64	46	62
YKL113C	72	36	35	70
YKL112W	85	56	69	81
YKL110C	31	38	46	69
YKL109W	436	473	367	472
YKL108W	15	9	15	21
YKL107W	11	7	1	2
YKL106C-A	0	0	0	0
YKL106W	15	31	16	39
YKL105C	131	98	75	69
YKL104C	163	211	202	253
YKL104W-A	0	0	0	0
YKL103C	415	509	128	168
YKL102C	0	1	0	3
YKL101W	170	115	119	168
YKL100C	240	195	123	146
YKL099C	12	14	27	41
YKL098W	52	41	33	41
YKL097C	1	0	0	2
YKL096C-B	0	0	0	2
YKL096W-A	608	507	432	489
YKL096W	71	165	116	103
YKL095W	13	17	16	21
YKL094W	166	155	125	167
YKL093W	47	19	18	15
YKL092C	43	32	37	69
YKL091C	232	172	75	110
YKL090W	26	9	12	28
YKL089W	27	11	18	24
YKL088W	78	75	66	96
YKL087C	84	102	33	50
YKL086W	7	15	5	0
YKL085W	1005	858	464	563
YKL084W	28	20	15	12
YKL082C	38	49	78	128
YKL081W	224	680	751	1190
YNCK0009W	0	0	0	1
YKL080W	226	272	172	284
YKL079W	73	52	55	85
YKL078W	6	3	12	26
YKL077W	110	114	87	159
YKL075C	45	36	42	57
YKL074C	31	12	20	31
YKL073W	67	73	80	92
YKL072W	28	29	26	28
YNCK0010W	0	0	0	0
YKL071W	11	4	11	9
YKL070W	15	11	9	15
YKL069W	43	35	25	39
YNCK0011C	0	0	0	0
YKL068W-A	8	3	2	15
YKL068W	57	66	81	122
YNCK0012C	0	0	0	0
YKL067W	220	226	112	123
YKL065W-A	6	1	1	2
YKL065C	190	201	116	175
YKL064W	200	181	128	164
YKL063C	34	46	34	25
YKL062W	130	261	177	216
YKL061W	8	7	9	17
YKL060C	5251	9932	4884	6573
YKL059C	38	36	43	50
YKL058W	45	58	47	65
YKL057C	60	91	65	97
YKL056C	468	946	1133	1776
YKL055C	5	2	1	5
YKL054C	283	382	243	332
YKL053C-A	46	60	22	24
YKL052C	43	33	35	44
YKL051W	70	86	75	118
YKL050C	21	9	9	11
YKL049C	35	19	19	24
YKL048C	39	9	8	23
YKL047W	25	23	35	26
YKL046C	172	170	114	191
YKL045W	70	39	26	52
YKL044W	9	10	6	1
YKL043W	45	52	88	74
YKL042W	37	14	23	31
YKL041W	51	53	45	54
YKL040C	72	68	50	76
YKL039W	140	147	119	157
YNCK0013W	0	0	2	1
YKL038W	124	85	72	79
YKL037W	10	6	2	6
YKL035W	1688	1479	748	948
YKL034W	76	80	53	61
YKL033W-A	47	124	61	94
YKL033W	27	18	20	40
YNCK0014W	0	0	0	0
YKL032C	126	79	70	120
YKL029C	47	337	242	359
YKL028W	66	71	71	96
YKL027W	52	41	48	79
YKL026C	114	51	27	17
YKL025C	89	88	62	87
YKL024C	47	69	34	78
YKL023C-A	9	15	8	15
YKL023W	79	74	43	66
YKL022C	60	59	42	75
YKL021C	45	39	48	81
YKL020C	142	107	127	134
YKL019W	71	75	58	78
YKL018C-A	11	20	11	16
YKL018W	19	27	23	32
YKL017C	44	32	39	47
YKL016C	409	357	218	296
YKL015W	59	50	40	50
YKL014C	25	41	65	96
YKL013C	132	126	74	106
YKL012W	81	57	62	92
YKL011C	33	15	16	21
YKL010C	190	107	97	146
YKL009W	36	27	54	121
YKL008C	68	38	32	63
YKL007W	99	129	73	97
YKL006C-A	20	24	19	24
YNCK0015C	0	1	0	2
YKL006W	163	393	619	867
YKL005C	96	63	56	74
YKL004W	82	47	65	111
YKL003C	26	36	17	24
YKL002W	78	82	59	62
YKL001C	147	14	12	14
YKR001C	270	266	148	233
YKR002W	94	90	72	86
YKR003W	66	56	37	46
YKR004C	16	17	11	22
YKR005C	4	3	3	9
YKR006C	45	42	24	25
YKR007W	34	44	27	39
YKR008W	66	44	49	70
YKR009C	127	38	24	44
YNCK0016W	0	0	0	0
YKR010C	52	27	29	52
YKR011C	78	116	43	83
YKR013W	148	91	69	122
YKR014C	212	168	111	156
YKR015C	16	11	13	22
YKR016W	236	238	141	176
YKR017C	62	32	19	42
YKR018C	320	283	138	212
YKR019C	44	17	19	21
YKR020W	34	32	23	19
YKR021W	58	72	37	79
YKR022C	37	27	22	33
YKR023W	39	44	36	47
YKR024C	11	7	10	20
YKR025W	33	25	25	51
YKR026C	26	27	39	56
YNCK0017W	0	0	0	0
YKR027W	53	39	24	56
YKR028W	110	117	109	158
YKR029C	67	41	53	51
YKR030W	30	34	29	55
YKR031C	139	107	98	104
YKR032W	0	0	0	0
YKR034W	4	0	0	0
YKR035W-A	81	78	45	61
YKR036C	33	34	31	66
YKR037C	44	35	15	32
YKR038C	111	75	80	121
YNCK0018C	0	0	0	0
YKR039W	361	502	187	224
YNCK0019W	0	0	0	0
YKR041W	1	0	2	2
YKR042W	378	612	655	997
YKR043C	129	124	137	240
YKR044W	22	17	9	34
YKR045C	11	5	5	7
YKR046C	548	422	282	418
YKR048C	276	259	290	379
YKR049C	58	57	24	36
YKR050W	97	35	42	53
YKR051W	31	30	32	43
YKR052C	31	32	30	38
YKR053C	16	15	10	15
YKR054C	136	60	78	105
YKR055W	38	34	21	26
YKR056W	43	20	32	84
YKR057W	86	201	393	547
YKR058W	189	154	115	147
YKR059W	370	700	732	1217
YKR060W	8	9	8	16
YKR061W	28	16	12	23
YNCK0020C	4	4	3	6
YKR062W	62	63	48	89
YKR063C	32	26	25	54
YKR064W	33	35	31	52
YKR065C	58	75	34	41
YKR066C	263	261	148	175
YKR067W	253	208	123	141
YKR068C	55	34	52	68
YKR069W	112	16	20	26
YKR070W	52	71	30	55
YKR071C	86	141	114	161
YKR072C	96	157	104	167
YKR073C	0	0	2	1
YNCK0021W	1	0	1	0
YKR074W	34	31	24	46
YKR075C	152	130	318	275
YKR076W	107	93	23	31
YKR077W	25	14	27	27
YKR078W	31	24	19	30
YKR079C	19	8	29	43
YKR080W	148	300	289	296
YKR081C	20	18	50	55
YKR082W	86	59	83	115
YKR083C	8	12	10	11
YKR084C	90	133	109	121
YKR085C	30	36	30	24
YKR086W	31	24	24	49
YKR087C	36	22	32	38
YKR088C	80	75	51	84
YKR089C	134	95	110	117
YKR090W	41	47	45	70
YKR091W	36	53	61	64
YKR092C	18	24	64	110
YKR093W	27	35	67	98
YKR094C	158	359	671	1019
YKR095W	191	194	148	208
YKR095W-A	8	14	15	22
YKR096W	131	95	96	133
YKR097W	24	6	18	15
YKR098C	99	73	65	74
YKR099W	18	20	13	40
YKR100C	86	93	70	110
YKR101W	28	22	27	30
YKR102W	21	10	9	14
YKR103W	22	7	13	11
YKR104W	6	2	4	7
YKR105C	6	6	7	7
YKR106W	16	14	12	12
YLL067C	135	100	60	89
YLL066W-B	1	0	0	0
YLL066C	128	72	73	94
YLL064C	0	0	0	0
YLL063C	0	0	0	0
YLL062C	53	2	4	4
YLL061W	267	14	20	15
YLL060C	12	10	10	6
YLL058W	54	32	33	44
YLL057C	105	6	9	12
YLL056C	20	11	4	10
YLL055W	71	26	17	25
YLL054C	34	20	18	25
YLL053C	57	76	41	86
YLL052C	36	43	25	45
YLL051C	56	39	40	64
YLL050C	236	322	173	228
YLL049W	19	27	11	24
YLL048C	203	237	179	268
YLL046C	0	0	0	1
YLL045C	387	913	1682	2504
YLL043W	142	128	122	173
YLL042C	8	5	4	8
YLL041C	426	387	189	221
YLL040C	293	268	163	175
YLL039C	1275	1148	443	613
YLL038C	22	16	22	26
YLL036C	48	53	51	76
YLL035W	15	12	16	35
YLL034C	17	9	30	74
YLL033W	8	9	10	11
YLL032C	52	28	27	47
YLL031C	117	75	62	80
YLL030C	0	0	0	0
YLL029W	405	331	220	324
YLL028W	77	73	61	134
YLL027W	128	81	96	93
YLL026W	4006	3748	1641	2569
YNCL0001W	0	0	0	0
YLL025W	5	2	1	2
YLL024C	3358	3872	1876	3008
YLL023C	165	138	71	116
YLL022C	35	41	33	51
YLL021W	144	159	120	162
YLL019C	217	168	108	131
YLL018C-A	19	17	16	17
YLL018C	239	765	309	406
YLL017W	2	2	4	4
YLL016W	68	24	30	48
YLL015W	177	189	144	178
YLL014W	34	29	21	33
YLL013C	74	49	31	52
YLL012W	45	23	44	59
YLL011W	12	8	17	39
YLL010C	53	28	31	45
