conA_rep1.sam	conA_rep2.sam	conB_rep1.sam	conB_rep2.sam
YBR235W	98	78	53	77
YBR236C	55	75	58	83
YBR237W	82	40	36	66
YBR238C	9	6	20	28
YBR239C	16	9	12	15
YBR240C	7	4	2	1
YBR241C	94	68	27	55
YBR242W	39	31	36	73
YBR243C	66	53	42	75
YBR244W	8	13	6	6
YBR245C	113	96	91	126
YBR246W	46	44	39	45
YBR247C	27	14	28	55
YBR248C	84	270	134	152
YBR249C	77	746	167	311
YBR250W	3	0	1	1
YBR251W	63	54	22	32
YBR252W	15	20	25	31
YBR253W	25	21	16	22
YBR254C	11	14	16	14
YBR255W	53	46	30	73
YBR255C-A	21	23	20	16
YBR256C	77	249	66	97
YBR257W	16	16	12	10
YBR258C	3	7	4	10
YBR259W	26	22	22	20
YBR260C	55	58	44	52
YBR261C	39	63	35	60
YBR262C	35	49	19	27
YBR263W	165	198	180	244
YBR264C	33	26	19	34
YBR265W	34	38	29	45
YBR267W	8	4	10	24
YBR266C	0	0	0	0
YBR268W	21	15	8	18
YBR269C	88	81	34	59
YBR270C	20	7	5	15
YBR271W	22	8	11	33
YBR272C	84	51	42	53
YBR273C	127	105	66	118
YBR274W	37	33	19	40
YBR275C	56	47	54	76
YBR276C	96	84	77	122
YBR278W	27	27	17	19
YBR279W	93	112	76	118
YBR280C	128	97	56	63
YBR281C	61	42	40	57
YBR282W	29	40	30	31
YBR283C	169	200	204	305
YBR284W	24	16	14	27
YBR285W	43	32	9	9
YBR286W	1262	1057	758	974
YBR287W	231	226	153	244
YBR288C	33	53	49	88
YBR289W	60	50	53	64
YBR290W	79	83	57	76
YBR291C	69	30	27	45
YBR292C	3	0	0	3
YBR293W	36	23	12	44
YBR294W	214	8	16	34
YBR295W	45	20	36	57
YBR296C	8	55	41	57
YBR296C-A	1	0	0	1
YBR297W	97	115	84	133
YBR298C	831	453	314	447
YBR298C-A	0	1	0	0
YBR299W	1531	998	406	649
YBR301W	0	0	1	1
YBR302C	39	48	36	53
YCL075W	0	0	0	0
YCL074W	0	0	0	0
YCL073C	2	1	1	3
YCL069W	1	0	2	1
YCL068C	6	3	1	0
YCL067C	19	9	8	16
YCL066W	0	0	1	0
YCL064C	11	35	12	32
YCL063W	35	21	20	25
YCL061C	32	49	54	63
YCL059C	37	40	73	109
YCL058C	1	1	3	0
YCL058W-A	0	0	0	0
YCL057C-A	75	92	41	50
YCL057W	220	294	150	197
YCL056C	16	16	22	29
YCL055W	25	28	24	25
YCL054W-A	4	1	1	3
YCL054W	26	37	64	129
YCL052C	127	128	102	127
YCL051W	73	58	40	66
YCL050C	153	170	92	176
YCL049C	76	63	28	33
YCL048W-A	8	0	1	1
YCL048W	4	1	0	2
YCL047C	31	31	16	18
YCL045C	145	171	150	215
YCL044C	58	53	27	44
YCL043C	933	1002	540	824
YCL042W	3	4	3	1
YCL040W	2815	2259	1204	1405
YCL039W	116	86	41	61
YCL038C	80	46	33	30
