"","logFC","logCPM","PValue","FDR"
"YGL078C",1.71487300604943,6.95874299370299,6.93277158410447e-07,4.8289065007149e-05
"YPL012W",1.8305432783542,6.28308371173926,8.00876106916719e-07,5.48856638205343e-05
"YNL134C",-1.39483394061083,7.15782848426118,8.08996193373112e-07,5.48856638205343e-05
"YBR142W",1.59634522039235,6.70009903377302,9.60915384074524e-07,6.43566918769912e-05
"YHR197W",1.6251169037892,5.54239988540083,9.90058486802047e-07,6.54691839880239e-05
"YKR093W",1.4843369886683,6.2748941693886,1.00562692979224e-06,6.5667438515433e-05
"YMR049C",1.72264110735334,6.96581933058761,1.02007737931329e-06,6.57886941917608e-05
"YDL153C",1.6260938577033,7.09660341582569,1.11406072938479e-06,7.08031402120981e-05
"YPL266W",1.58144932862192,6.12835583117182,1.12493503782621e-06,7.08031402120981e-05
"YPR112C",1.47721390295534,6.45604813638818,1.21335577679079e-06,7.46532782849928e-05
"YPL186C",-1.34538047313087,7.28732794969463,1.21468772094648e-06,7.46532782849928e-05
"YNL002C",1.34975119744732,6.69568931778443,1.28391101298246e-06,7.79901294397717e-05
"YLR356W",-1.6485219089892,5.79240389478379,1.46293575320323e-06,8.78434066061342e-05
"YPL171C",-2.55248545601175,5.55744695606779,1.58144454375887e-06,9.38802988249586e-05
"YJR096W",-1.64918201786338,7.68089096919064,1.60323974494318e-06,9.4104768849249e-05
"YMR169C",-1.56300152571488,7.06709230442584,1.63639265044425e-06,9.49835022880087e-05
"YLR401C",1.48126647011334,6.19873779552941,1.68866379150223e-06,9.69404356792047e-05
"YML042W",-1.57544554197654,6.34031545216875,1.92005596057296e-06,0.000108684709816472
"YOR310C",1.61064522597639,7.97026280683593,1.93485413723811e-06,0.000108684709816472
"YLR080W",-1.67782140448359,5.46062190974427,1.98912194118176e-06,0.000110248776369584
"YGR145W",1.41410295897742,6.69774104597698,2.00490692096295e-06,0.000110248776369584
"YLR409C",1.87276189208865,6.3899994570911,2.24380230230729e-06,0.000122024667466815
"YPL226W",1.33883269819757,7.37740628419082,2.26782885023312e-06,0.000122024667466815
"YPL263C",1.36628170669359,6.78814398968352,2.28913043869599e-06,0.000122024667466815
"YMR173W",-1.83407212247735,8.94498152183011,2.48926701349863e-06,0.000131352837156736
"YCL059C",1.31462948965722,6.45611283582897,2.93990851804729e-06,0.000153580820982791
"YCL054W",1.65392940115199,6.42355386541969,3.24413270934995e-06,0.000167795537362813
"YHR138C",-1.53221598152182,6.04248136799564,3.29202140994032e-06,0.000168603135740473
"YKR081C",1.55893130672392,5.64922008178072,3.43385839247193e-06,0.000174159963517217
"YPL093W",1.66020382079619,6.55874992481469,3.48211998674758e-06,0.000174909565488167
"YOR185C",-1.43286415709363,6.9351607026351,3.55625263280166e-06,0.000176932035750056
"YGR200C",1.41913593854501,6.77218810345435,3.63473029641578e-06,0.000179130481778076
"YER069W",-1.3914262795872,7.63876584724259,3.67082418023724e-06,0.000179218556238872
"YGR123C",1.54205625812581,5.93419221179148,3.87703747278472e-06,0.000187533738498402
"YOR294W",1.7783321334276,5.43354847368602,4.43304917386371e-06,0.000212460998938202
"YOR173W",-1.68935534991682,8.67407021502107,4.51915891334227e-06,0.000214618965120909
"YPL211W",2.05153565838334,5.27620469544148,4.68665774707744e-06,0.000218745256450425
"YMR194W",1.85274608137149,8.07907982369264,4.7445612902798e-06,0.000218745256450425
"YBR285W",-1.95123885090066,5.03621247649359,4.75519190574777e-06,0.000218745256450425
"YAL008W",-1.31121274907843,6.2103472073446,4.77353737276962e-06,0.000218745256450425
"YLR196W",1.61188284316899,6.95755122970072,4.86282914734524e-06,0.000220899299702014
"YIL088C",-1.23383377978955,7.31204766221498,4.97386442268908e-06,0.000223995411587308
"YPL126W",1.49446876717852,6.55909237820467,5.05286619966959e-06,0.000225608316470717
"YPR137W",1.49036321137229,5.52277829233869,5.19605409568284e-06,0.000230035479625823
"YOR289W",-1.43343489148339,6.21981439860764,5.42773150709165e-06,0.00023827285204241
"YPR030W",-1.62079334062975,7.71035009833916,5.74299034973783e-06,0.000250011513225254
"YDL182W",-2.17335354300685,8.42489897826804,5.8617803947193e-06,0.000253073890760443
"YLR222C",2.19009208073857,5.61568034126706,6.04168752802683e-06,0.000258703079068952
"YKL191W",1.27623310899773,6.84221664012916,6.145700818464e-06,0.000261017407119154
"YLR405W",1.48766653461238,5.66951138797074,6.60498979453095e-06,0.000278261828117981
"YDL208W",1.54598886428712,6.83432317443837,7.16480058738418e-06,0.00029943134614796
"YDR083W",1.51320773814382,5.71302238031559,7.62847357660295e-06,0.000316278936223601
"YNR050C",-2.28948843218941,9.3042340100877,7.9814927264797e-06,0.000328309590575826
"YJL033W",1.6993729259929,6.23605509262105,8.51195770879918e-06,0.000347394273990366
"YEL026W",1.86555647547123,6.49473220502363,8.617698150454e-06,0.000348983373162571
"YMR308C",1.35992624457755,7.9240588631393,8.87909515367731e-06,0.000356803023713925
"YML022W",1.49179186369928,6.47494855956803,9.12583112411567e-06,0.000363918639636491
"YJL137C",-1.52405007027002,5.72284388982254,1.11086497138714e-05,0.000439633228070184
"YMR014W",1.59509573638727,5.67039518076866,1.14754802170383e-05,0.000450736155291791
"YBR154C",1.27154137511511,6.40907371093192,1.25967592670031e-05,0.000491085600080778
"YLL034C",2.03113875714457,5.47496224678591,1.29597564471956e-05,0.000501494575408516
"YDR324C",1.75791174987496,5.85196510818409,1.35643815971488e-05,0.000521031834290481
"YKL082C",1.30538792537278,6.62438494320444,1.36770150766964e-05,0.000521523552997533
"YNR015W",1.51492562085917,6.19165976653958,1.4621502057803e-05,0.000553498019927266
"YJL148W",1.63291269598165,5.91124435796737,1.48150742915938e-05,0.000556790993520043
"YJL109C",1.30727404873671,7.29777315323918,1.52877245679942e-05,0.000570450522451442
"YCR051W",1.32199855679282,6.63596106892361,1.54136327519238e-05,0.000571069627631561
"YJL052W",-1.85843784722467,10.1060359461746,1.5961206835725e-05,0.000587192566970617
"YNL274C",-1.81451138195561,8.45196202552068,1.63403509628444e-05,0.000596937016992301
"YFL030W",-1.53958178473629,6.51025756520451,1.92841295297248e-05,0.000699585365717239
"YDR059C",-1.5558786385507,5.21940808117312,1.97805069565898e-05,0.000712643919594655
"YIL069C",1.89335722737588,8.97589544685578,2.03794676967033e-05,0.000729194104435466
"YKL009W",1.51460145982547,6.31154135886535,2.09408315904696e-05,0.000744183021963354
"YDL222C",-2.18906890970723,6.30227259400814,2.11150703627107e-05,0.000745304916045952
"YPL217C",1.23425837972866,7.43525515155225,2.38184945644723e-05,0.000835086010770492
"YCL033C",-1.36972563482765,5.53627672519994,2.41164477159649e-05,0.000839895485788006
