"","logFC","logCPM","PValue","FDR"
"YFL055W",-2.43681852708515,5.50950748431038,0.000413665157655697,0.00731585624671899
"YMR271C",-1.56428095285562,5.33669909715577,0.000418551633789552,0.00736199910746336
"YPR167C",-2.25329259810602,5.2119737149846,0.000424884867952937,0.00744831728250384
"YER175C",-2.78339116953396,6.63874757893455,0.000432884219353324,0.00753795720633921
"YJL153C",-2.01615728338147,6.69859627526154,0.000435157094815757,0.00755236100769938
"YLR149C",-1.10944894260213,7.97538855821652,0.000462146913057975,0.00783849179810019
"YHR029C",-2.46090944662153,6.59513378725651,0.000505992377134416,0.00844506127204533
"YJR008W",-1.12740427505164,7.41012705969568,0.000508829251593457,0.00846536309020451
"YIL087C",-1.04109013344341,6.60728348178414,0.000517514751232119,0.00852838189412174
"YER037W",-1.57025871514527,5.42014482025591,0.000527670397224026,0.0085873836607424
"YGR205W",-1.07236513652364,6.68346762711581,0.000564470448667009,0.00901771750408702
"YDR502C",-1.89608661842851,8.81742061456609,0.000580120023240068,0.00921138906202467
"YBR208C",-2.38964575289869,8.63478236263736,0.000623886923654308,0.00979022820000136
"YGR174C",-1.19365084992621,6.29120907995385,0.000624070825153226,0.00979022820000136
"YMR096W",-4.68455916852881,8.71344850548002,0.000634636129565772,0.00984366977123497
"YBR169C",-1.25255062551782,8.81216778526109,0.000636672347550296,0.00984366977123497
"YOL058W",-3.53353609900736,9.19405691210996,0.000699694167063177,0.010503454967638
"YIR029W",-1.3445155838748,5.26459412195868,0.000756748040339226,0.0111673778608252
"YBR053C",-1.08787131523433,7.31059036747419,0.000766434966163927,0.0112467872562931
"YPR124W",-1.22848470646444,5.26589739192539,0.000799076565881935,0.0115954888337979
"YKL026C",-1.73423849494875,6.13777772878617,0.000819728419996785,0.011737330186128
"YJR010W",-3.88843315109471,6.89228623973468,0.000832293822532992,0.0118795161992141
"YKL218C",-2.10025979938535,7.12485049801043,0.000839336335692428,0.0119473924186846
"YPR192W",-2.09756168035904,4.49739403835753,0.000853784457434449,0.0120689956329875
"YMR315W",-1.2046973582429,8.62376513586734,0.000854810180743758,0.0120689956329875
"YMR196W",-1.40546978046057,9.57066121971629,0.00087951967721049,0.0122850555982556
